"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30302","Login Oncare","webkit","2026-02-14","broken","2026-02-14","","flujo-completo.spec.ts","",""
"","11940","Login Oncare","webkit","2026-02-14","passed","2026-02-14","","login-trabajo.spec.ts","",""
"","13815","Login exitoso con POM","chromium","2026-02-14","passed","2026-02-14","","LoginPOM.spec.ts","",""
"","14403","Login exitoso con POM","webkit","2026-02-14","passed","2026-02-14","","LoginPOM.spec.ts","",""
"","5772","Prueba en Google","webkit","2026-02-14","passed","2026-02-14","","google.spec.ts","",""
"","31536","Login Oncare","firefox","2026-02-14","broken","2026-02-14","","flujo-completo.spec.ts","",""
"","8370","Búsqueda en Wikipedia (Compatible Firefox)","firefox","2026-02-14","passed","2026-02-14","","wikipedia.spec.ts","",""
"","14110","Prueba en Google","firefox","2026-02-14","passed","2026-02-14","","google.spec.ts","",""
"","32088","Login Oncare","chromium","2026-02-14","broken","2026-02-14","","flujo-completo.spec.ts","",""
"","14417","Búsqueda en Wikipedia (Compatible Firefox)","chromium","2026-02-14","passed","2026-02-14","","wikipedia.spec.ts","",""
"","14378","Prueba en Google","chromium","2026-02-14","passed","2026-02-14","","google.spec.ts","",""
"","12589","Login exitoso con POM","firefox","2026-02-14","passed","2026-02-14","","LoginPOM.spec.ts","",""
"","14693","Login Oncare","firefox","2026-02-14","passed","2026-02-14","","login-trabajo.spec.ts","",""
"","14776","Login Oncare","chromium","2026-02-14","passed","2026-02-14","","login-trabajo.spec.ts","",""
"","7503","Búsqueda en Wikipedia (Compatible Firefox)","webkit","2026-02-14","passed","2026-02-14","","wikipedia.spec.ts","",""
